가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수,입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,소득10분위,소득구간,가계지출,소비지출,food,sigar,cloth,life,household,health,traffic,telecom,culture,edu,lodge,service,insurance,도시/읍면부 구분,연차구분,engel,freetime,happy,years
795,1,2,1,0,0,0,1,1,1,1,1,25,4,1,J,9,1,0,0,0,0,0,0,3,1,1,1216,0,0,64,1,5,4,3349764.5,2894056,115138.5,7512.5,25629.5,51251.5,239967,55105,1870492,70303.5,93059,17500,216274.5,131822.5,82657.5,1,1,4,3.2,80.8,1
823,1,5,1,0,0,0,1,2,1,1,1,41,6,1,J,3,1,0,0,0,0,0,0,2,2,1,3306,0,0,84,1,10,8,2161446.2,1720943,223739,19712,93350,44724,8240,18605.6,122844,16065.6,199300,316360,621428,36574.8,15440.8,1,4,13,11.6,89.1,4
970,1,1,1,0,0,0,1,1,3,1,1,32,6,1,J,2,1,0,0,0,0,0,0,6,0,4,300,55000,0,38,2,4,3,1220771,924660,96490,101017,20406,130580,16362,59387,25127,29810,24149,0,317588,103742,47623,1,2,10.4,2.6,25,2
980,1,1,1,0,0,0,1,1,3,1,1,30,6,1,J,2,1,0,0,0,0,0,0,1,0,6,400,3000,320,14,2,3,3,1396650,1173740,127009,11429,21571,377972,17676,45571,45117,66600,40854,0,379837,40104,0,1,2,10.8,3.5,32.2,2
986,2,1,1,0,0,0,1,1,3,1,1,32,6,1,J,5,5,0,0,0,0,0,0,1,0,6,450,3000,350,14,2,1,1,870974,709474,33700,0,3500,389200,2500,0,60980,59686,47228,0,108920,3760,0,1,2,4.7,6.7,140.1,2
1057,1,2,1,0,0,0,1,1,1,1,1,59,6,1,J,7,2,0,0,0,0,0,0,2,1,1,500,0,0,84,1,3,3,837065.5,489674,82048.5,6075,38133.5,75473.5,2970.5,23373.5,78655,50510,5083.5,0,71100,56251.5,39439,1,6,16.8,1,6.2,6
1212,2,4,2,0,0,1,0,2,1,1,1,45,4,1,J,7,4,0,0,0,0,0,0,4,1,1,400,0,0,59,1,10,8,1399162.5,1071775.5,162703.5,5605.75,96480.25,45590.75,54075.25,50977.25,69752.25,24569.5,52809.75,338560,107869.25,62782,26612.5,1,5,15.2,4.9,32.5,5
1229,1,3,2,0,0,1,0,2,1,1,1,53,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1500,0,0,179,1,10,8,4658553,2167011,469575,16445,49000,178194,177709.3333,464925,155350,49003.33333,164783.3333,20000,201950,220076,135599.3333,1,6,21.7,7.6,35.1,6
1240,2,1,1,0,0,0,1,1,3,1,2,37,5,1,J,2,5,0,0,0,0,0,0,6,1,6,463,20000,250,24,2,1,1,2312440,2193158,166570,0,534190,338995,23611,525276,65986,70778,32105,0,232393,203254,34936,1,3,7.6,1.5,19.3,3
1401,1,3,2,0,0,1,0,2,1,1,1,36,5,1,J,3,1,0,0,0,0,0,0,2,1,1,1185,0,0,59,1,10,8,2210730.333,1366559,122038.6667,4481.333333,218634.3333,42577.66667,47010,322870.3333,51712.66667,31436.66667,28817.66667,16666.66667,314400,165913.3333,33875.66667,1,3,8.9,2.1,23.6,3
